Sex,ID,Station,Date,Time,X,Y
M,M11-4,SSP3,23-Aug-13,2:50,329158,1847540
M,M07-4,CAM3,24-Aug-13,6:36,343342,1857392
M,M11-4,SSP3,25-Aug-13,6:11,329158,1847540
M,M03-7,SSP3,25-Aug-13,20:27,329158,1847540
M,M04-21,CAM20,25-Aug-13,21:23,346324,1856815
M,M03-8,CAM6,25-Aug-13,20:48,332253,1853668
M,M12-6,CAM19,26-Aug-13,9:46,341136,1857209
M,M03-7,SSP2,26-Aug-13,0:20,330654,1848402
M,M11-8,SSP2,27-Aug-13,6:03,330654,1848402
F,F11-9,CAM15,28-Aug-13,22:14,343235,1856308
M,M03-7,CAM11,29-Aug-13,6:59,339125,1856055
M,M11-1,SSP3,29-Aug-13,17:36,329158,1847540
U,Jag13-9,CAM15,31-Aug-13,3:31,343235,1856308
M,M11-8,SSP2,3-Sep-13,19:23,330654,1848402
M,M11-1,SSP3,3-Sep-13,19:47,329158,1847540
M,M11-8,SSP3,3-Sep-13,23:58,329158,1847540
M,M12-6,CAM15,3-Sep-13,22:31,343235,1856308
M,M07-4,CAM3,4-Sep-13,6:45,343342,1857392
M,M06-5,CAM5,4-Sep-13,19:13,336248,1857328
F,F12-4,CAM18,4-Sep-13,19:59,334906,1857479
M,M06-5,CAM11,5-Sep-13,1:31,339125,1856055
M,M03-7,CAM11,6-Sep-13,6:10,339125,1856055
M,M12-6,CAM3,7-Sep-13,23:14,343342,1857392
M,M03-7,CAM5,7-Sep-13,6:09,336248,1857328
U,J13-12,CAM10,7-Sep-13,8:44,335703,1848952
M,M12-6,CAM15,7-Sep-13,23:31,343235,1856308
M,M11-1,SSP4,7-Sep-13,3:05,326327,1848561
U,Jag13-9,CAM3,8-Sep-13,22:37,343342,1857392
M,M12-6,CAM20,8-Sep-13,2:59,346324,1856815
M,M03-7,CAM5,9-Sep-13,5:26,336248,1857328
M,M04-21,CAM15,10-Sep-13,0:54,343235,1856308
M,M11-4,SSP3,10-Sep-13,22:00,329158,1847540
M,M06-5,CAM15,11-Sep-13,21:53,343235,1856308
M,M11-4,SSP4,11-Sep-13,0:05,326327,1848561
M,M02-2,CAM5,12-Sep-13,23:22,336248,1857328
