#Session,ID,Occasion,Detector,day,hour
1,1,1,147,36,19.2333333333333
1,1,1,153,40,20.95
1,1,1,157,28,4.58333333333333
1,2,1,135,16,23.4333333333333
1,2,1,137,19,1.81666666666667
1,3,1,45,30,21.1333333333333
1,3,1,140,1,19.6166666666667
1,4,1,71,9,21.4
1,4,1,132,20,19.4333333333333
1,4,1,133,21,21.9333333333333
1,4,1,134,22,1.11666666666667
1,4,1,146,30,0.55
1,5,1,152,2,0.266666666666667
1,5,1,153,2,2
1,5,1,152,31,18.5666666666667
1,6,1,145,4,1.58333333333333
1,6,1,162,5,3.7
1,6,1,145,13,19.2333333333333
1,6,1,162,24,21.8666666666667
1,6,1,146,25,18.5666666666667
1,6,1,138,30,23.1666666666667
1,6,1,145,30,0.383333333333333
1,6,1,162,30,1.53333333333333
1,6,1,162,35,5.18333333333333
1,6,1,146,40,5.78333333333333
1,6,1,146,40,22.35
1,6,1,162,40,3.43333333333333
1,6,1,146,41,5.58333333333333
1,7,1,139,1,2.15
1,7,1,140,1,2.61666666666667
1,7,1,141,11,1.18333333333333
1,7,1,97,16,0.0166666666666667
1,7,1,119,16,0.8
1,7,1,98,18,21.9333333333333
1,7,1,140,18,3.2
1,7,1,98,22,7.06666666666667
1,7,1,139,22,19.5
1,7,1,119,23,20.8166666666667
1,7,1,143,24,23.5666666666667
1,7,1,129,25,23.7
1,7,1,142,25,5.3
1,7,1,141,26,21.7833333333333
1,7,1,119,29,3.98333333333333
1,7,1,132,29,19.3666666666667
1,7,1,129,33,3.68333333333333
1,7,1,132,36,18.7
1,7,1,98,37,5.05
1,7,1,140,41,6.18333333333333
1,8,1,137,0,23.7
1,8,1,133,4,22.9166666666667
1,8,1,133,15,8.13333333333333
1,8,1,133,22,14.9833333333333
1,8,1,138,28,19.6166666666667
1,8,1,138,33,19.0666666666667
1,8,1,135,37,5.8
1,9,1,126,5,6.36666666666667
1,9,1,133,11,18.3833333333333
1,9,1,134,12,0.683333333333333
1,9,1,125,13,5.48333333333333
1,9,1,122,18,22.6833333333333
1,9,1,126,18,4.5
1,9,1,134,19,2.53333333333333
1,9,1,126,22,1.25
1,9,1,126,29,22.9166666666667
1,9,1,123,32,7.06666666666667
1,9,1,114,36,4.86666666666667
1,9,1,133,36,20.6833333333333
1,9,1,122,37,23.7833333333333
1,9,1,137,39,19.4333333333333
1,9,1,114,45,7.53333333333333
1,10,1,138,38,4.83333333333333
1,10,1,160,15,19.4333333333333
1,11,1,150,30,4.85
1,11,1,153,29,22.8166666666667
1,12,1,145,35,5.28333333333333
1,12,1,146,35,5.86666666666667
1,12,1,157,35,21.8666666666667
1,13,1,154,18,5.65
1,13,1,154,33,2.08333333333333
1,13,1,154,34,3.11666666666667
1,13,1,158,27,22.7666666666667
1,13,1,159,20,22.45
1,14,1,133,3,4.88333333333333
1,14,1,137,4,3.33333333333333
1,15,1,155,37,3.71666666666667
1,15,1,160,7,2.95
1,15,1,160,31,18.4666666666667
1,15,1,160,31,23.95
1,16,1,139,9,10.5
1,17,1,145,9,5.25
1,17,1,146,41,6.25
1,18,1,143,2,3.7
1,19,1,143,28,1.2
1,20,1,7,22,21.4
1,21,1,1,33,1.05
1,21,1,2,15,2.18333333333333
1,21,1,2,9,18.4166666666667
1,21,1,2,6,23.55
1,22,1,22,42,19.55
1,22,1,65,31,1.5
1,22,1,67,37,5.45
1,22,1,67,44,22.1333333333333
1,22,1,84,38,9.63333333333333
1,22,1,85,40,22
1,22,1,87,23,2.7
1,22,1,87,9,19
1,22,1,89,38,20.65
1,22,1,91,38,21.55
1,22,1,91,13,0.3
1,22,1,92,9,5.98333333333333
1,23,1,105,39,19.3
1,23,1,105,28,21.75
1,24,1,69,28,21.3666666666667
1,24,1,74,25,22.3166666666667
1,24,1,77,34,21.9166666666667
1,24,1,106,31,3.48333333333333
1,25,1,101,45,11.3333333333333
1,25,1,101,4,21.6333333333333
1,25,1,103,25,22.9666666666667
1,25,1,103,42,9.23333333333333
1,25,1,103,39,0.0666666666666667
1,25,1,117,30,1.41666666666667
1,25,1,117,7,4.16666666666667
1,25,1,117,45,18.2333333333333
1,25,1,118,27,1.61666666666667
1,25,1,131,41,7.11666666666667
1,26,1,70,8,21.55
1,26,1,70,34,19.7166666666667
1,27,1,63,42,20.4
1,27,1,65,34,19.8833333333333
1,27,1,80,27,5.8
1,27,1,80,22,2.73333333333333
1,27,1,81,33,8.28333333333333
1,27,1,81,3,4.65
1,27,1,83,33,6.68333333333333
1,27,1,83,27,8.6
1,27,1,83,3,23.3
1,27,1,83,44,20.7666666666667
1,28,1,46,17,18.75
1,28,1,46,14,22.1333333333333
1,28,1,46,16,20.75
1,28,1,47,21,19.9166666666667
1,28,1,48,36,20.2333333333333
1,28,1,49,42,19.9333333333333
1,28,1,49,7,1.45
1,28,1,96,3,0.1
1,29,1,2,21,22.1333333333333
1,30,1,107,11,20.0166666666667
1,30,1,107,31,19.2166666666667
1,30,1,109,3,2.1
1,31,1,27,34,0.233333333333333
1,31,1,30,26,3.18333333333333
1,32,1,34,14,14.9333333333333
1,33,1,7,6,20.0833333333333
1,33,1,9,5,18.35
1,33,1,11,4,4.61666666666667
1,34,1,1,10,3.73333333333333
1,35,1,22,6,5.28333333333333
1,36,1,67,27,20.3166666666667
1,36,1,67,1,21.85
1,36,1,84,3,20.7666666666667
1,36,1,85,3,19.3333333333333
1,36,1,91,26,2.86666666666667
1,37,1,28,28,18.7166666666667
1,37,1,28,29,0.85
1,37,1,30,4,8.95
1,37,1,30,30,18.75
1,37,1,30,30,5.28333333333333
1,37,1,30,30,9.26666666666667
1,37,1,68,38,23.0666666666667
1,37,1,68,44,17.8
1,38,1,66,38,5.6
1,38,1,67,37,22.5166666666667
1,38,1,88,28,20.85
1,38,1,91,23,0.716666666666667
1,38,1,91,39,22.7666666666667
1,38,1,92,22,1.83333333333333
1,39,1,88,2,1.1
1,40,1,2,8,4.78333333333333
1,41,1,13,42,0.983333333333333
1,42,1,122,11,18.7333333333333
1,43,1,81,15,18.4
1,44,1,122,19,5.8
1,45,1,13,20,0.816666666666667
1,46,1,16,18,17.8833333333333
1,47,1,122,26,21.35
1,47,1,124,14,23.0166666666667
1,47,1,124,32,4.35
1,48,1,134,33,3.81666666666667
1,49,1,82,21,8.35
1,50,1,121,27,4.9
1,51,1,11,30,0.85
1,52,1,18,29,6.61666666666667
1,53,1,123,28,1.73333333333333
1,54,1,91,31,4.3
1,55,1,42,2,13.8333333333333
1,55,1,42,3,11.2333333333333
1,55,1,31,13,20.9833333333333
1,55,1,42,18,3.86666666666667
1,55,1,31,36,1.41666666666667
1,55,1,31,42,19.75
1,55,1,31,43,5.96666666666667
1,56,1,125,0,2.53333333333333
1,57,1,123,1,21.4
1,57,1,123,9,18.3
1,58,1,18,29,6.63333333333333
1,58,1,18,32,4.61666666666667
1,58,1,18,31,15.9666666666667
1,58,1,18,36,7.36666666666667
1,59,1,26,4,9.81666666666667
1,60,1,92,32,21.0166666666667
1,60,1,92,3,20.8333333333333
1,60,1,92,5,0.866666666666667
1,61,1,43,9,2.21666666666667
1,61,1,67,28,22.9666666666667
1,61,1,85,3,19.35
1,62,1,111,34,20.7
1,63,1,31,36,1.41666666666667
1,63,1,42,18,3.85
1,64,1,8,47,2.66666666666667
1,65,1,70,13,11.3
1,66,1,25,20,23.3666666666667
1,66,1,25,10,5.73333333333333
1,67,1,67,7,21.7666666666667
1,67,1,67,29,0.316666666666667
1,67,1,87,37,19.8333333333333
1,67,1,87,19,20.15
1,68,1,35,23,0.416666666666667
1,68,1,36,21,0.416666666666667
1,68,1,37,44,4.38333333333333
1,69,1,125,41,6.73333333333333
1,69,1,125,7,22.2166666666667
1,69,1,125,4,5.63333333333333
1,69,1,133,32,1.68333333333333
1,69,1,133,27,18.95
1,69,1,133,30,3.65
1,69,1,133,36,1.06666666666667
1,70,1,112,46,2.41666666666667
1,70,1,112,39,6.43333333333333
1,70,1,112,35,5.43333333333333
1,70,1,122,1,23.7833333333333
1,70,1,123,36,4.33333333333333
1,70,1,123,3,3.3
1,70,1,124,6,2.83333333333333
1,71,1,82,5,2.58333333333333
1,71,1,82,44,20.5333333333333
1,71,1,82,40,19.6666666666667
1,72,1,94,28,3.46666666666667
1,73,1,126,0,18.1
1,73,1,132,1,20.5333333333333
1,73,1,101,10,0.333333333333333
1,73,1,131,11,7.21666666666667
1,73,1,127,12,3.76666666666667
1,73,1,116,22,2.95
1,73,1,117,22,2.21666666666667
1,73,1,117,23,6.18333333333333
1,73,1,103,25,16.9666666666667
1,73,1,131,26,2.16666666666667
1,73,1,131,30,20.4333333333333
1,73,1,103,37,0.133333333333333
1,73,1,115,37,4.33333333333333
1,73,1,99,38,7.95
1,73,1,103,40,2.31666666666667
1,73,1,118,40,7.98333333333333
1,73,1,103,42,18.5166666666667
1,73,1,117,43,6.4
1,73,1,131,43,5.65
1,73,1,116,44,2.56666666666667
1,74,1,80,32,4.35
1,74,1,80,38,8.43333333333333
1,74,1,80,3,3.6
1,75,1,32,7,19.7333333333333
1,75,1,33,7,18.9166666666667
1,75,1,44,12,4.78333333333333
1,75,1,31,18,22.95
1,75,1,38,27,6.46666666666667
1,75,1,40,28,23.6166666666667
1,75,1,42,29,4.18333333333333
1,75,1,136,29,22.2833333333333
1,75,1,41,30,18.5833333333333
1,75,1,44,31,3.93333333333333
1,75,1,44,37,7.1
1,75,1,41,38,19.7666666666667
1,75,1,44,43,19.6
1,76,1,57,3,8.26666666666667
1,76,1,94,3,0.05
1,76,1,59,4,6.2
1,76,1,60,4,6.68333333333333
1,76,1,59,6,18.6
1,76,1,59,10,9.38333333333333
1,76,1,54,11,0.416666666666667
1,76,1,60,11,6.13333333333333
1,76,1,57,19,18.3666666666667
1,76,1,53,20,23.75
1,76,1,58,25,6.26666666666667
1,76,1,90,25,20.05
1,76,1,55,30,21.45
1,76,1,57,30,19.8
1,76,1,58,30,19.35
1,76,1,100,39,2.28333333333333
1,76,1,57,40,3.8
1,76,1,58,40,4.35
1,76,1,59,40,7.1
1,76,1,90,40,19.1333333333333
1,76,1,52,41,18.6
1,76,1,53,43,0.283333333333333
1,76,1,59,44,5.13333333333333
1,77,1,119,38,7.26666666666667
1,77,1,129,13,22.2666666666667
1,78,1,56,21,23.3666666666667
1,78,1,61,1,3.21666666666667
1,78,1,70,37,0.4
1,78,1,70,42,23.3166666666667
1,78,1,70,23,4.36666666666667
1,78,1,71,42,22.6666666666667
1,78,1,72,21,2.4
1,78,1,72,35,3.55
1,78,1,74,45,6.45
1,78,1,75,33,1.11666666666667
1,78,1,102,35,20.4166666666667
1,78,1,102,25,2.91666666666667
1,79,1,110,12,19.2666666666667
1,80,1,19,24,4.25
1,81,1,69,18,3.06666666666667
1,81,1,74,38,20.5166666666667
1,81,1,74,28,23.65
1,81,1,77,28,19.4166666666667
1,81,1,77,33,22.8666666666667
1,82,1,112,42,0.866666666666667
1,82,1,113,45,4.56666666666667
1,82,1,115,2,4.83333333333333
1,82,1,112,45,6.91666666666667
1,82,1,112,40,7
1,82,1,113,40,9.25
1,82,1,115,41,10.0833333333333
1,82,1,115,27,19.2
1,82,1,114,41,22.5833333333333
1,83,1,46,37,19.7166666666667
1,83,1,46,34,4.75
1,83,1,46,33,4.85
1,83,1,47,31,19.4833333333333
1,84,1,50,14,18.6
1,85,1,77,25,2.31666666666667
1,85,1,79,25,5.08333333333333
1,85,1,77,39,7.56666666666667
1,85,1,77,43,9.55
1,86,1,110,3,4.36666666666667
1,86,1,110,4,4.08333333333333
1,86,1,110,11,4.43333333333333
1,86,1,110,25,21.4
1,86,1,111,5,2.8
1,86,1,111,18,22.9
1,86,1,111,22,3.23333333333333
1,86,1,111,28,21.4333333333333
1,86,1,111,39,2.1
