#LOC_ID,X_COORD,Y_COORD
1,610368.8907,1353957.867
2,608567.6012,1357472.564
3,612363.9822,1353925.615
4,606343.2529,1362598.302
5,606207.3341,1359304.238
6,619143.3405,1333574.354
7,617434.7146,1333476.89
8,620544.555,1334588.648
9,618691.0541,1335077.8
10,617904.8039,1334894.404
11,617993.1825,1337039.261
12,617426.8417,1346748.707
13,619701.2539,1345314.507
14,622567.5671,1345790.772
15,620637.1406,1348219.356
16,619300.1453,1349522.318
17,617601.1138,1348887.286
18,615774.4467,1348045.037
19,615432.0568,1351016.591
20,614162.1876,1349691.095
21,613378.4612,1351494.137
22,621138.8291,1337812.826
23,618501.2246,1339013.259
24,620275.4556,1340032.374
25,622191.7288,1340357.621
26,620459.1289,1342238.479
27,621406.8214,1343870.382
28,623305.4408,1342100.872
29,623280.665,1343870.384
30,624563.8769,1343812.713
31,627206.8793,1343103.929
32,628017.5007,1344387.095
33,626571.2675,1345160.62
34,631090.0923,1345470.086
35,632085.7665,1346441.199
36,632881.5407,1343697.348
37,634010.3235,1345555.07
38,630224.1431,1344184.364
39,630222.1512,1343400.176
40,630026.6089,1342083.136
41,628943.2051,1342715.477
42,628011.9087,1341399.693
43,627322.1848,1340072.815
44,629454.9744,1340653.855
45,616841.5169,1327889.37
46,616686.5924,1329928.188
47,617411.0529,1330356.824
48,618155.0008,1330532.286
49,619211.9166,1330300.905
50,618957.8572,1331769.749
51,621329.3541,1332719.38
52,622318.7092,1331165.065
53,621106.5566,1331287.319
54,621873.2777,1329872.549
55,623928.66,1330151.961
56,625132.1933,1328461.462
57,625182.3311,1330531.01
58,626328.418,1331373.079
59,627253.2374,1331498.664
60,628202.8057,1331183.082
61,627221.1103,1329581.804
62,629510.44,1332154.277
63,630772.0668,1332426.327
64,628200.8186,1333674.936
65,627027.8609,1335341.111
66,626432.0153,1337749.692
67,625392.1247,1339920.82
68,625458.0354,1341835.611
69,631321.899,1325955.153
70,630055.9208,1326121.074
71,628787.1751,1325667.667
72,629557.0464,1327675.088
73,628291.3796,1327789.094
74,631130.7241,1327841.198
75,629475.7039,1328861.497
76,629743.2954,1330173.292
77,632032.9501,1329411.299
78,632827.3806,1329000.05
79,634086.5684,1330815.143
80,632863.809,1332073.884
81,632756.2683,1333734.674
82,632368.1557,1335335.596
83,630336.693,1335896.248
84,628988.1959,1335358.38
85,628079.552,1336815.515
86,629558.0234,1338486.486
87,624215.1433,1338997.884
88,625240.415,1336922.884
89,625286.822,1334687.83
90,626168.479,1333155.295
91,623910.8357,1335233.976
92,623068.93,1335617.589
93,617911.7384,1327339.466
94,621505.9827,1327826.074
95,621069.5061,1327258.041
96,620013.3406,1327814.53
97,621122.5464,1325716.505
98,622479.7648,1325854.73
99,623865.7562,1326406.781
100,623705.9639,1327662.537
101,625702.0432,1326020.679
102,626308.612,1327294.029
103,627121.6414,1325052.263
104,629033.9462,1323986.474
105,630197.7135,1324055.641
106,633288.3761,1327430.422
107,632940.2368,1325400.412
108,633572.1007,1324106.944
109,631173.1328,1323117.549
110,633002.9307,1321811.619
111,632185.9731,1318625.987
112,629229.4358,1319793.303
113,630275.2882,1321480.056
114,628983.046,1321634.867
115,628490.0838,1322826.148
116,626495.3424,1323286.643
117,624722.3287,1323864.313
118,624151.3457,1325013.295
119,619303.2038,1325965.808
120,626022.457,1314224.292
121,625156.304,1315586.606
122,627568.2314,1315493.82
123,626454.707,1317396.999
124,628087.2392,1317424.889
125,624899.7635,1318361.597
126,626372.902,1320286.642
127,624482.202,1320577.396
128,624406.0892,1321603.448
129,619604.2478,1324739.364
130,621478.0128,1324514.624
131,623317.1178,1323989.024
132,621806.4926,1322453.282
133,622599.1028,1317937.422
134,623179.027,1315941.257
135,622450.7714,1320136.633
136,626641.7387,1345475.032
137,621180.7761,1318824.228
138,619679.2328,1319297.126
139,619631.359,1321481.248
140,620483.8853,1322335.148
141,618075.9532,1321845.612
142,619153.5523,1323341.825
143,616852.0558,1320978.18
144,618471.8982,1320295.482
145,618167.9357,1318380.953
146,618085.4828,1316906.368
147,618757.0368,1315078.611
148,620341.6237,1316777.018
149,620172.2164,1315005.671
150,621248.4997,1315516.503
151,620396.3989,1313959.2
152,621928.7484,1313477.589
153,619858.2917,1312033.775
154,615641.0524,1314731.441
155,614508.1518,1313898.772
156,615658.8817,1318612.338
157,618390.4316,1310776.054
158,617156.3659,1313831.478
159,617099.1333,1315392.883
160,614071.2584,1315662.233
161,616391.016,1317127.625
162,619279.1768,1318012.608
